version
10
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
32,34,0,54,88,0,0,0,0,100,0,45,55,45,55,50,50,0,0,0,0,0,0,337.0,24.0,461.0,532.0,53.0,10.0,51.0,0.0
65,36,0,55,88,0,0,0,0,100,0,46,54,46,54,50,50,0,0,0,0,0,0,349.0,25.0,468.0,532.0,39.0,0.0,34.0,0.0
98,37,0,56,88,0,0,0,0,100,0,47,53,47,53,50,50,0,0,0,0,0,0,357.0,27.0,474.0,532.0,27.0,0.0,21.0,0.0
131,41,0,57,87,0,0,0,0,100,0,48,52,48,52,50,50,0,0,0,0,0,0,378.0,28.0,479.0,529.0,18.0,0.0,9.0,0.0
164,44,0,57,87,0,0,0,0,100,0,49,51,49,51,50,50,0,0,0,0,0,0,395.0,28.0,481.0,527.0,9.0,0.0,5.0,0.0
197,46,0,57,87,0,0,0,0,100,0,49,51,49,51,50,50,0,0,0,0,0,0,409.0,28.0,482.0,526.0,4.0,0.0,0.0,0.0
230,48,0,58,86,0,0,0,0,100,0,50,50,50,50,50,50,0,0,0,0,0,0,421.0,31.0,484.0,524.0,0.0,0.0,0.0,0.0
263,49,0,58,86,0,0,0,0,100,0,51,49,51,49,50,50,0,0,0,0,0,0,430.0,29.0,485.0,520.0,0.0,0.0,0.0,0.0
296,52,0,58,85,0,0,0,0,100,0,51,49,51,49,50,50,0,0,0,0,0,0,446.0,35.0,486.0,517.0,0.0,0.0,0.0,0.0
329,54,0,59,84,0,0,0,0,100,0,52,48,52,48,50,50,0,0,0,0,0,0,459.0,32.0,491.0,511.0,0.0,0.0,0.0,0.0
362,56,0,59,83,0,0,0,0,100,0,53,47,53,47,50,50,0,0,0,0,0,0,472.0,36.0,492.0,506.0,0.0,0.0,0.0,0.0
395,58,0,60,80,0,0,0,0,100,0,55,45,55,45,50,50,0,0,0,0,0,0,484.0,36.0,496.0,492.0,0.0,0.0,0.0,0.0
428,60,0,60,79,0,0,0,0,100,0,55,45,55,45,50,50,0,0,0,0,0,0,495.0,39.0,501.0,486.0,0.0,0.0,0.0,0.0
461,61,0,61,77,0,0,0,0,100,0,56,44,56,44,50,50,0,0,0,0,0,0,507.0,40.0,502.0,479.0,0.0,0.0,0.0,0.0
494,62,0,61,76,0,0,0,0,100,0,57,43,57,43,50,50,0,0,0,0,0,0,512.0,41.0,507.0,470.0,0.0,0.0,0.0,0.0
527,63,0,62,75,0,0,0,0,100,0,58,42,58,42,50,50,0,0,0,0,0,0,514.0,40.0,509.0,465.0,0.0,0.0,0.0,0.0
560,63,0,62,73,0,0,0,0,100,0,58,42,58,42,50,50,0,0,0,0,0,0,518.0,41.0,512.0,458.0,0.0,0.0,0.0,0.0
593,64,0,62,72,0,0,0,0,100,0,59,41,59,41,50,50,0,0,0,0,0,0,523.0,43.0,513.0,450.0,0.0,0.0,0.0,0.0
626,64,0,63,71,0,0,0,0,100,0,59,41,59,41,50,50,0,0,0,0,0,0,522.0,44.0,515.0,445.0,0.0,0.0,0.0,0.0
659,65,0,62,68,0,0,0,0,100,0,60,40,60,40,50,50,0,0,0,0,0,0,527.0,47.0,513.0,434.0,0.0,0.0,0.0,0.0
692,65,0,63,66,0,0,0,0,100,0,61,39,61,39,50,50,0,0,0,0,0,0,530.0,49.0,516.0,421.0,0.0,0.0,0.0,0.0
725,65,0,63,62,0,0,0,0,100,0,63,37,63,37,50,50,0,0,0,0,0,0,532.0,50.0,516.0,402.0,0.0,0.0,0.0,0.0
758,66,0,63,56,0,0,0,0,100,0,65,35,65,35,50,50,0,0,0,0,0,0,535.0,55.0,515.0,374.0,7.0,0.0,0.0,0.0
791,67,0,63,47,0,0,0,0,100,0,69,31,69,31,50,50,0,0,0,0,0,0,540.0,52.0,515.0,325.0,21.0,0.0,0.0,0.0
824,67,0,63,30,0,0,0,0,100,0,78,22,78,22,50,50,0,0,0,0,0,0,544.0,60.0,518.0,242.0,35.0,5.0,17.0,0.0
857,68,0,63,11,0,0,0,0,100,0,90,10,90,10,50,50,0,0,0,0,0,0,551.0,67.0,514.0,147.0,39.0,22.0,40.0,0.0
890,69,0,62,0,0,0,0,0,100,0,100,0,100,0,50,50,0,0,0,0,0,0,556.0,71.0,511.0,43.0,51.0,38.0,79.0,0.0
923,70,0,61,0,0,0,1,0,99,1,100,0,100,0,100,0,0,0,0,0,0,0,560.0,74.0,506.0,0.0,53.0,58.0,128.0,0.0
956,71,0,60,0,0,0,11,0,92,8,100,0,100,0,100,0,0,0,0,0,0,0,566.0,82.0,498.0,0.0,57.0,74.0,190.0,0.0
989,71,0,59,0,0,0,20,0,86,14,100,0,100,0,100,0,0,0,0,0,0,0,565.0,88.0,491.0,0.0,65.0,95.0,249.0,4.0
