version
202
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
70.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,33,0,112,100,0,0,0,0,20,0,0,0,57
93.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,33,0,112,100,0,0,0,0,20,0,0,0,57
115.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,33,0,112,100,0,0,0,0,20,0,0,0,57
136.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,70,0,112,100,0,1,1,0,18,0,0,0,57
166.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,70,0,112,100,0,1,1,0,18,0,0,0,57
196.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,34,0,112,100,0,0,0,1,18,0,0,0,57
225.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,53,0,0,115,0,0,0,0,18,0,0,0,46
255.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,107,0,0,0,0,17,0,0,0,42
286.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,24,0,0,107,0,0,0,0,19,0,0,0,42
316.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,24,0,0,127,0,0,0,0,19,1,0,0,48
345.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,24,0,0,94,0,0,0,0,36,0,1,0,50
376.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,23,0,0,94,0,1,0,0,41,0,1,0,50
406.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,23,0,0,94,0,1,0,0,41,0,1,0,50
435.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,23,0,0,68,0,1,0,0,41,1,2,0,41
465.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,42,0,0,89,0,0,0,0,90,0,0,0,40
496.0,0,0,0,10,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,89,0,0,0,0,170,0,0,0,40
526.0,0,0,0,6,0,0,0,0,66,34,0,100,0,100,50,50,0,0,0,0,44,0,0,0,0,152,0,0,0,29
556.0,0,0,0,6,0,0,0,0,66,34,0,100,0,100,50,50,0,0,0,0,66,0,0,0,0,152,0,0,0,33
586.0,0,0,0,6,0,0,0,0,66,34,0,100,0,100,50,50,0,0,0,0,77,0,0,0,0,152,0,0,0,33
615.0,0,0,0,66,0,0,0,0,100,0,0,100,0,100,50,50,0,56,0,0,62,0,2,0,0,448,0,0,1,36
646.0,0,0,0,83,0,0,0,0,100,0,0,100,0,100,50,50,0,26,0,0,62,0,0,0,0,531,0,0,1,36
676.0,0,0,0,87,0,0,0,0,100,0,0,100,0,100,50,50,27,39,0,0,75,0,0,0,0,553,0,0,0,46
706.0,0,0,0,87,0,0,0,0,100,0,0,100,0,100,50,50,27,39,0,0,83,0,0,0,0,553,0,0,0,56
736.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,83,0,1,0,0,592,0,0,0,56
765.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,64,0,1,0,0,592,1,0,0,68
796.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,64,0,1,0,0,592,1,0,0,68
826.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,64,0,1,0,0,592,1,0,0,68
856.0,0,0,0,45,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,97,0,0,0,0,343,0,0,0,101
885.0,0,0,0,59,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,101,0,0,0,0,417,0,0,0,107
915.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,101,0,0,0,0,119,0,0,0,107
946.0,0,0,0,4,0,0,0,1,62,38,0,100,0,100,0,100,0,0,0,0,106,0,0,0,0,143,0,0,0,126
976.0,0,0,0,4,0,0,0,1,59,41,0,100,0,100,0,100,0,0,0,0,87,0,0,0,0,144,0,0,0,131
1006.0,0,0,0,4,0,0,0,1,60,40,0,100,0,100,0,100,0,0,0,0,48,0,0,0,0,144,0,1,0,129
1036.0,0,0,0,4,0,0,0,2,57,43,0,100,0,100,0,100,0,0,0,0,75,0,0,0,0,144,0,0,0,134
1065.0,0,0,0,0,0,0,0,5,33,67,0,100,50,50,0,100,0,23,0,0,61,0,0,0,0,8,0,0,0,148
1096.0,0,0,0,0,0,0,0,16,0,100,0,100,50,50,0,100,0,19,0,0,32,0,0,0,1,3,0,0,0,203
1126.0,0,0,0,0,0,0,0,16,0,100,0,100,50,50,0,100,0,5,0,0,32,0,0,0,0,6,0,0,0,203
1156.0,0,0,0,0,0,0,0,16,0,100,0,100,50,50,0,100,0,5,0,0,32,0,0,0,0,6,0,0,0,203
1185.0,0,0,0,0,0,0,0,16,0,100,0,100,50,50,0,100,0,0,0,0,32,0,0,0,0,1,0,0,0,203
1215.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,0,62,0,0,0,0,2,0,0,0,634
1246.0,0,0,0,0,0,0,0,88,0,100,0,100,50,50,0,100,0,0,0,0,104,0,0,0,0,2,0,0,0,573
1276.0,0,0,0,0,0,0,0,88,0,100,0,100,50,50,0,100,0,0,0,0,104,0,0,0,0,2,0,0,0,573
1306.0,0,0,0,0,0,0,0,88,0,100,0,100,50,50,0,100,0,0,0,0,104,0,0,0,0,2,0,0,0,573
1336.0,0,0,0,0,0,0,0,88,0,100,0,100,50,50,0,100,0,6,0,0,104,0,0,0,0,0,0,0,0,573
1365.0,0,0,0,0,0,0,0,88,0,100,0,100,50,50,0,100,0,4,0,0,104,0,1,0,0,0,0,0,0,573
